ID,RA,Dec
77,148.9648105953797,69.68020889224715
78,148.9651125146085,69.67899322418388
79,148.96513224818497,69.67990791069248
80,148.9652119593424,69.6785346035899
81,148.96532314518765,69.6793726703752
82,148.96544683073668,69.68036714410728
83,148.96550193121072,69.67909989109846
84,148.9656865525751,69.67932729096687
85,148.96583669996056,69.67974365405452
86,148.9658597827567,69.68010284784653
87,148.96591262303997,69.68053894356962
88,148.96591263066588,69.67885447641085
89,148.96592996770772,69.6811338795751
90,148.9660761534547,69.679287768414
91,148.9662148784635,69.68035970510707
92,148.96658909111474,69.67924134838671
93,148.96661764405425,69.68074871718932
94,148.96674272750425,69.6787177940012
95,148.9667486976249,69.68012769354154
96,148.96686980307453,69.67988426362749
97,148.96725819744202,69.68034416928627
98,148.9675180710893,69.68107229514699
99,148.96764653651942,69.67850795735518
100,148.96773230562061,69.67967263214067
101,148.9677998020192,69.68007695588577
102,148.96790356115704,69.67959230753948
103,148.96800330862925,69.68120444864422
104,148.96816188399674,69.67938875555403
105,148.9682032691038,69.67971322046294
106,148.96824835659575,69.67874667410912
107,148.9682681768843,69.67891342441563
108,148.96834466807863,69.68006692843508
109,148.9685292900541,69.68059837995777
110,148.96869073985943,69.68036574102449
111,148.96873648610512,69.67898214819837
112,148.96898304741538,69.67887393738692
113,148.96901167896863,69.68015157284101
114,148.96923687440756,69.68046722384804
115,148.96929880903141,69.6791978441451
116,148.9694737188053,69.67982155969752
117,148.96965338735316,69.67973546913332
118,148.96966826905245,69.68034863208504
119,148.96980508607018,69.68022478004393
120,148.9700134029329,69.68033025009201
121,148.97005767206147,69.67928027660024
122,148.97015915891862,69.68090398316902
123,148.97019586982069,69.68111959006941
124,148.97025829046683,69.6804494432914
125,148.97028007132292,69.68000157878312
126,148.97066189781805,69.67981313267695
127,148.97096806320994,69.67984154342405
128,148.9712601403416,69.67893619896817
129,148.97127343457282,69.67993873242888
130,148.97130359773806,69.68023912949228
131,148.97159425745176,69.6806104191291
132,148.97160518030472,69.68045459031185
133,148.9718108542719,69.67903855373865
134,148.97183862206606,69.6801427916871
135,148.97195465190273,69.68103456157986
136,148.9720547883598,69.6798717328561
137,148.9723615277516,69.68038780510973
138,148.97240436367576,69.6801022588084
139,148.97253037317216,69.68058228067642
140,148.97257942089888,69.68072952973449
141,148.97259651760035,69.6796028546013
142,148.97266515534665,69.6808608769133
143,148.97287887468826,69.68040500104297
144,148.97313472489375,69.67966848747874
145,148.9734547297316,69.6796597371415
146,148.97362965378662,69.68066252365718
147,148.9739407179267,69.67956884933363
148,148.9740019147508,69.68020998076342
149,148.97431132959758,69.68126207774422
150,148.97433136500916,69.6808394308838
151,148.97436529516153,69.68064017707137
152,148.97439362125962,69.6800447660737
153,148.9747562893335,69.68065194019253
154,148.97503705339653,69.68158944358096
155,148.97506130713361,69.67999393472306
156,148.97551130444475,69.68130088264422
157,148.97553932485542,69.68108094004867
158,148.97611266596644,69.68109868018104
159,148.97645896529357,69.68048928294485
160,148.97676535611467,69.68101176858845
